"pk_person","name","begin_date","end_date","pk_organisation","name:1"
1,Beyoncé,"2008",-,3,Parkwood Entertainment
2,Britney Spears,"1993","1994",2,The All-New Mickey Mouse Club
3,Billie Eilish,"2009",around 2016,4,"Los Angeles Children's Chorus
"
4,Leon Bridges,"2014",-,5,Columbia Records
5,Olivia Rodrigo,"2020",-,6,Geffen Records
6,Harry Styles,"2016",-,7,Erskine Records Limited
7,Lady Gaga,"2003","2005",8,Tisch School of the Arts
8,Adele,"2003","2006",9,BRIT School
9,Jacob Collier,,,10,Purcell School for Young Musicians
10,Etta James,"1960","1978",11,Chess Records
